image,empty,not_adipocyte,adipocyte
12.12 Beef Shoulder 3_r38_c39.jpg,0.994335,0.004608,0.001057
12.12 Beef Shoulder 3_r39_c37.jpg,0.272514,0.548227,0.179258
12.12 Beef Shoulder 3_r39_c38.jpg,0.635409,0.330007,0.034584
12.12 Beef Shoulder 3_r39_c39.jpg,0.997043,0.001996,0.000962
12.12 Beef Shoulder 3_r43_c38.jpg,0.462550,0.515159,0.022291
12.12 Beef Shoulder 3_r44_c39.jpg,0.835671,0.105141,0.059188
12.12 Beef Shoulder 3_r46_c8.jpg,0.032848,0.816218,0.150934
12.12 Beef Shoulder 3_r47_c15.jpg,0.850934,0.138052,0.011013
12.12 Beef Shoulder 3_r47_c16.jpg,0.687355,0.303341,0.009304
12.12 Beef Shoulder 3_r48_c13.jpg,0.289247,0.663580,0.047174
12.12 Beef Shoulder 3_r49_c0.jpg,0.396217,0.574966,0.028817
12.12 Beef Shoulder 3_r50_c1.jpg,0.857290,0.132911,0.009798
12.12 Beef Shoulder 3_r51_c36.jpg,0.067199,0.912054,0.020748
12.12 Beef Shoulder 3_r51_c9.jpg,0.046066,0.945215,0.008718
12.12 Beef Shoulder 3_r52_c0.jpg,0.321358,0.611913,0.066729
12.12 Beef Shoulder 3_r52_c26.jpg,0.164829,0.829626,0.005546
12.12 Beef Shoulder 3_r53_c19.jpg,0.270807,0.684960,0.044234
12.12 Beef Shoulder 3_r53_c27.jpg,0.071960,0.895342,0.032698
12.12 Beef Shoulder 3_r54_c36.jpg,0.878340,0.118123,0.003537
12.12 Beef Shoulder 3_r56_c14.jpg,0.023967,0.957862,0.018171
12.12 Beef Shoulder 3_r56_c28.jpg,0.529713,0.437902,0.032385
12.12 Beef Shoulder 3_r56_c36.jpg,0.630225,0.358003,0.011772
12.12 Beef Shoulder 3_r57_c21.jpg,0.930662,0.066833,0.002505
12.12 Beef Shoulder 3_r58_c25.jpg,0.256882,0.581542,0.161576
12.12 Beef Shoulder 3_r59_c30.jpg,0.138040,0.833303,0.028657
12.12 Beef Shoulder 3_r59_c31.jpg,0.261588,0.678331,0.060080
12.12 Beef Shoulder 3_r5_c38.jpg,0.784675,0.212772,0.002553
12.12 Beef Shoulder 3_r60_c36.jpg,0.352939,0.627951,0.019109
12.12 Beef Shoulder 3_r61_c34.jpg,0.168509,0.811308,0.020183
12.12 Beef Shoulder 3_r61_c37.jpg,0.109612,0.883550,0.006838
12.12 Beef Shoulder 3_r62_c37.jpg,0.386446,0.567798,0.045756
2nd Meat_r1_c13.jpg,0.087089,0.875381,0.037530
2nd Meat_r1_c3.jpg,0.018358,0.965285,0.016358
2nd Meat_r2_c4.jpg,0.014175,0.872591,0.113234
3rd Meat_r10_c0.jpg,0.061867,0.922166,0.015967
3rd Meat_r10_c1.jpg,0.118050,0.864494,0.017456
3rd Meat_r10_c3.jpg,0.014208,0.981254,0.004538
3rd Meat_r12_c0.jpg,0.030119,0.930841,0.039040
3rd Meat_r15_c15.jpg,0.630461,0.292279,0.077260
3rd Meat_r16_c15.jpg,0.050480,0.931836,0.017684
3rd Meat_r21_c14.jpg,0.013823,0.933782,0.052395
3rd Meat_r4_c3.jpg,0.152061,0.771737,0.076202
3rd Meat_r4_c4.jpg,0.019397,0.846968,0.133635
3rd Meat_r4_c5.jpg,0.079592,0.798084,0.122324
3rd Meat_r5_c0.jpg,0.062876,0.913701,0.023424
3rd Meat_r5_c1.jpg,0.030665,0.947796,0.021539
3rd Meat_r5_c2.jpg,0.080370,0.900642,0.018988
3rd Meat_r5_c3.jpg,0.084440,0.885159,0.030400
3rd Meat_r6_c1.jpg,0.087669,0.895099,0.017232
3rd Meat_r6_c2.jpg,0.238487,0.751016,0.010496
3rd Meat_r8_c0.jpg,0.018103,0.961752,0.020145
3rd Meat_r8_c13.jpg,0.514585,0.468823,0.016591
3rd Meat_r8_c3.jpg,0.012250,0.977355,0.010395
4th Meat, 400 g, 3 wts_r10_c17.jpg,0.635473,0.349183,0.015344
4th Meat, 400 g, 3 wts_r11_c13.jpg,0.551593,0.390633,0.057773
4th Meat, 400 g, 3 wts_r11_c14.jpg,0.085856,0.842915,0.071229
4th Meat, 400 g, 3 wts_r11_c15.jpg,0.035449,0.907881,0.056670
4th Meat, 400 g, 3 wts_r11_c16.jpg,0.018384,0.948075,0.033541
4th Meat, 400 g, 3 wts_r12_c11.jpg,0.433582,0.488287,0.078131
4th Meat, 400 g, 3 wts_r12_c12.jpg,0.653340,0.317323,0.029337
4th Meat, 400 g, 3 wts_r13_c12.jpg,0.680805,0.310443,0.008753
4th Meat, 400 g, 3 wts_r13_c13.jpg,0.368616,0.614615,0.016769
4th Meat, 400 g, 3 wts_r13_c14.jpg,0.385812,0.596101,0.018087
4th Meat, 400 g, 3 wts_r13_c15.jpg,0.117911,0.823060,0.059030
4th Meat, 400 g, 3 wts_r14_c10.jpg,0.098504,0.882856,0.018640
4th Meat, 400 g, 3 wts_r14_c12.jpg,0.426966,0.503705,0.069329
4th Meat, 400 g, 3 wts_r14_c13.jpg,0.186199,0.752618,0.061182
4th Meat, 400 g, 3 wts_r14_c14.jpg,0.089869,0.892246,0.017884
4th Meat, 400 g, 3 wts_r14_c15.jpg,0.076513,0.901301,0.022186
4th Meat, 400 g, 3 wts_r15_c10.jpg,0.299151,0.685180,0.015669
4th Meat, 400 g, 3 wts_r15_c12.jpg,0.396729,0.583350,0.019921
4th Meat, 400 g, 3 wts_r15_c21.jpg,0.061489,0.904969,0.033542
4th Meat, 400 g, 3 wts_r16_c10.jpg,0.151023,0.835318,0.013659
4th Meat, 400 g, 3 wts_r16_c11.jpg,0.144221,0.833516,0.022263
4th Meat, 400 g, 3 wts_r16_c12.jpg,0.129290,0.849190,0.021520
4th Meat, 400 g, 3 wts_r16_c14.jpg,0.544789,0.444927,0.010284
4th Meat, 400 g, 3 wts_r16_c15.jpg,0.143301,0.844742,0.011957
4th Meat, 400 g, 3 wts_r16_c22.jpg,0.191239,0.716398,0.092362
4th Meat, 400 g, 3 wts_r16_c5.jpg,0.866873,0.118349,0.014778
4th Meat, 400 g, 3 wts_r16_c6.jpg,0.641857,0.353138,0.005005
4th Meat, 400 g, 3 wts_r17_c10.jpg,0.248268,0.744779,0.006953
4th Meat, 400 g, 3 wts_r17_c14.jpg,0.217998,0.746295,0.035708
4th Meat, 400 g, 3 wts_r18_c10.jpg,0.569861,0.425159,0.004980
4th Meat, 400 g, 3 wts_r18_c6.jpg,0.585616,0.351635,0.062749
4th Meat, 400 g, 3 wts_r18_c8.jpg,0.273473,0.716284,0.010243
4th Meat, 400 g, 3 wts_r18_c9.jpg,0.524005,0.443410,0.032584
4th Meat, 400 g, 3 wts_r19_c10.jpg,0.269477,0.714576,0.015947
4th Meat, 400 g, 3 wts_r19_c11.jpg,0.164964,0.730392,0.104644
4th Meat, 400 g, 3 wts_r19_c12.jpg,0.404540,0.565043,0.030417
4th Meat, 400 g, 3 wts_r19_c13.jpg,0.301627,0.679241,0.019132
4th Meat, 400 g, 3 wts_r20_c10.jpg,0.187001,0.803524,0.009475
4th Meat, 400 g, 3 wts_r20_c11.jpg,0.806114,0.178611,0.015274
4th Meat, 400 g, 3 wts_r20_c12.jpg,0.596561,0.389967,0.013472
4th Meat, 400 g, 3 wts_r20_c17.jpg,0.275973,0.713958,0.010069
4th Meat, 400 g, 3 wts_r20_c25.jpg,0.097192,0.882138,0.020670
4th Meat, 400 g, 3 wts_r20_c9.jpg,0.277446,0.701179,0.021375
4th Meat, 400 g, 3 wts_r21_c10.jpg,0.573797,0.397070,0.029132
4th Meat, 400 g, 3 wts_r21_c12.jpg,0.659134,0.320758,0.020108
4th Meat, 400 g, 3 wts_r21_c8.jpg,0.036172,0.945467,0.018361
4th Meat, 400 g, 3 wts_r21_c9.jpg,0.207386,0.785801,0.006812
4th Meat, 400 g, 3 wts_r22_c10.jpg,0.123474,0.823599,0.052926
4th Meat, 400 g, 3 wts_r22_c7.jpg,0.069343,0.910876,0.019781
4th Meat, 400 g, 3 wts_r22_c8.jpg,0.333425,0.633903,0.032672
4th Meat, 400 g, 3 wts_r23_c12.jpg,0.128324,0.855924,0.015752
4th Meat, 400 g, 3 wts_r23_c21.jpg,0.183105,0.763783,0.053112
4th Meat, 400 g, 3 wts_r23_c5.jpg,0.606698,0.377996,0.015306
4th Meat, 400 g, 3 wts_r23_c7.jpg,0.328571,0.643220,0.028209
4th Meat, 400 g, 3 wts_r23_c8.jpg,0.764361,0.229159,0.006480
4th Meat, 400 g, 3 wts_r23_c9.jpg,0.435715,0.511466,0.052818
4th Meat, 400 g, 3 wts_r24_c14.jpg,0.852941,0.136189,0.010871
4th Meat, 400 g, 3 wts_r24_c7.jpg,0.880977,0.116971,0.002052
4th Meat, 400 g, 3 wts_r24_c9.jpg,0.470085,0.507521,0.022394
4th Meat, 400 g, 3 wts_r25_c13.jpg,0.499437,0.478306,0.022258
4th Meat, 400 g, 3 wts_r25_c14.jpg,0.102512,0.879358,0.018131
4th Meat, 400 g, 3 wts_r25_c3.jpg,0.254620,0.734295,0.011084
4th Meat, 400 g, 3 wts_r25_c7.jpg,0.060215,0.925987,0.013797
