image,empty,not_adipocyte,adipocyte
4th Meat, 400 g, 3 wts_r5_c10.jpg,0.058401,0.932330,0.009269
4th Meat, 400 g, 3 wts_r5_c11.jpg,0.131912,0.797791,0.070297
4th Meat, 400 g, 3 wts_r5_c12.jpg,0.019655,0.972851,0.007493
4th Meat, 400 g, 3 wts_r5_c13.jpg,0.009201,0.981841,0.008958
4th Meat, 400 g, 3 wts_r5_c14.jpg,0.058633,0.933162,0.008205
4th Meat, 400 g, 3 wts_r5_c15.jpg,0.013203,0.977556,0.009242
4th Meat, 400 g, 3 wts_r5_c16.jpg,0.011679,0.983446,0.004875
4th Meat, 400 g, 3 wts_r5_c17.jpg,0.083683,0.899266,0.017051
4th Meat, 400 g, 3 wts_r5_c18.jpg,0.075409,0.911595,0.012996
4th Meat, 400 g, 3 wts_r5_c19.jpg,0.024702,0.972090,0.003208
4th Meat, 400 g, 3 wts_r5_c2.jpg,0.032910,0.949489,0.017601
4th Meat, 400 g, 3 wts_r5_c20.jpg,0.132993,0.839307,0.027700
4th Meat, 400 g, 3 wts_r5_c22.jpg,0.195234,0.790204,0.014561
4th Meat, 400 g, 3 wts_r5_c23.jpg,0.062862,0.927873,0.009264
4th Meat, 400 g, 3 wts_r5_c24.jpg,0.461080,0.528864,0.010056
4th Meat, 400 g, 3 wts_r5_c3.jpg,0.003162,0.991114,0.005724
4th Meat, 400 g, 3 wts_r5_c4.jpg,0.012024,0.970603,0.017373
4th Meat, 400 g, 3 wts_r5_c5.jpg,0.006796,0.991431,0.001773
4th Meat, 400 g, 3 wts_r5_c6.jpg,0.001323,0.984327,0.014351
4th Meat, 400 g, 3 wts_r5_c7.jpg,0.012529,0.970312,0.017159
4th Meat, 400 g, 3 wts_r5_c8.jpg,0.029648,0.965273,0.005079
4th Meat, 400 g, 3 wts_r5_c9.jpg,0.007139,0.986450,0.006411
4th Meat, 400 g, 3 wts_r6_c0.jpg,0.081795,0.901196,0.017008
4th Meat, 400 g, 3 wts_r6_c1.jpg,0.006363,0.990034,0.003604
4th Meat, 400 g, 3 wts_r6_c10.jpg,0.046683,0.932061,0.021256
4th Meat, 400 g, 3 wts_r6_c11.jpg,0.043669,0.940908,0.015423
4th Meat, 400 g, 3 wts_r6_c12.jpg,0.003244,0.993588,0.003168
4th Meat, 400 g, 3 wts_r6_c13.jpg,0.088046,0.889889,0.022065
4th Meat, 400 g, 3 wts_r6_c14.jpg,0.268502,0.721921,0.009577
4th Meat, 400 g, 3 wts_r6_c15.jpg,0.250415,0.742317,0.007268
4th Meat, 400 g, 3 wts_r6_c16.jpg,0.389331,0.600755,0.009914
4th Meat, 400 g, 3 wts_r6_c17.jpg,0.637379,0.326581,0.036040
4th Meat, 400 g, 3 wts_r6_c18.jpg,0.191717,0.800803,0.007481
4th Meat, 400 g, 3 wts_r6_c19.jpg,0.318561,0.663383,0.018056
4th Meat, 400 g, 3 wts_r6_c2.jpg,0.015967,0.971359,0.012675
4th Meat, 400 g, 3 wts_r6_c20.jpg,0.600539,0.388640,0.010821
4th Meat, 400 g, 3 wts_r6_c21.jpg,0.068571,0.916914,0.014514
4th Meat, 400 g, 3 wts_r6_c22.jpg,0.038361,0.921592,0.040046
4th Meat, 400 g, 3 wts_r6_c23.jpg,0.018738,0.976519,0.004743
4th Meat, 400 g, 3 wts_r6_c3.jpg,0.086769,0.908587,0.004644
4th Meat, 400 g, 3 wts_r6_c4.jpg,0.031936,0.954536,0.013528
4th Meat, 400 g, 3 wts_r6_c5.jpg,0.010403,0.985605,0.003992
4th Meat, 400 g, 3 wts_r6_c6.jpg,0.006556,0.982331,0.011113
4th Meat, 400 g, 3 wts_r6_c7.jpg,0.020758,0.976849,0.002393
4th Meat, 400 g, 3 wts_r6_c8.jpg,0.011707,0.981537,0.006756
4th Meat, 400 g, 3 wts_r6_c9.jpg,0.007220,0.988722,0.004058
4th Meat, 400 g, 3 wts_r7_c0.jpg,0.433671,0.552396,0.013933
4th Meat, 400 g, 3 wts_r7_c1.jpg,0.011937,0.987049,0.001014
4th Meat, 400 g, 3 wts_r7_c10.jpg,0.422039,0.499694,0.078267
4th Meat, 400 g, 3 wts_r7_c11.jpg,0.027308,0.963781,0.008911
4th Meat, 400 g, 3 wts_r7_c12.jpg,0.071030,0.917949,0.011020
4th Meat, 400 g, 3 wts_r7_c13.jpg,0.223425,0.764571,0.012004
4th Meat, 400 g, 3 wts_r7_c14.jpg,0.166774,0.826873,0.006353
4th Meat, 400 g, 3 wts_r7_c15.jpg,0.256099,0.726607,0.017294
4th Meat, 400 g, 3 wts_r7_c16.jpg,0.115443,0.877884,0.006672
4th Meat, 400 g, 3 wts_r7_c17.jpg,0.305994,0.687444,0.006562
4th Meat, 400 g, 3 wts_r7_c18.jpg,0.451123,0.540003,0.008874
4th Meat, 400 g, 3 wts_r7_c19.jpg,0.577023,0.409793,0.013183
4th Meat, 400 g, 3 wts_r7_c2.jpg,0.037417,0.949253,0.013330
4th Meat, 400 g, 3 wts_r7_c20.jpg,0.133147,0.839782,0.027070
4th Meat, 400 g, 3 wts_r7_c22.jpg,0.140547,0.836155,0.023298
4th Meat, 400 g, 3 wts_r7_c23.jpg,0.408807,0.577975,0.013219
4th Meat, 400 g, 3 wts_r7_c24.jpg,0.061524,0.926981,0.011496
4th Meat, 400 g, 3 wts_r7_c25.jpg,0.040244,0.950715,0.009041
4th Meat, 400 g, 3 wts_r7_c3.jpg,0.145215,0.836463,0.018322
4th Meat, 400 g, 3 wts_r7_c4.jpg,0.497961,0.485433,0.016606
4th Meat, 400 g, 3 wts_r7_c5.jpg,0.033977,0.949305,0.016718
4th Meat, 400 g, 3 wts_r7_c6.jpg,0.019739,0.960409,0.019853
4th Meat, 400 g, 3 wts_r7_c7.jpg,0.033740,0.950604,0.015655
4th Meat, 400 g, 3 wts_r7_c8.jpg,0.052855,0.939772,0.007373
4th Meat, 400 g, 3 wts_r7_c9.jpg,0.310572,0.665937,0.023492
4th Meat, 400 g, 3 wts_r8_c0.jpg,0.048584,0.949056,0.002360
4th Meat, 400 g, 3 wts_r8_c1.jpg,0.039647,0.957566,0.002786
4th Meat, 400 g, 3 wts_r8_c10.jpg,0.961410,0.035778,0.002812
4th Meat, 400 g, 3 wts_r8_c11.jpg,0.091148,0.902452,0.006400
4th Meat, 400 g, 3 wts_r8_c12.jpg,0.102976,0.860791,0.036233
4th Meat, 400 g, 3 wts_r8_c13.jpg,0.502682,0.487033,0.010285
4th Meat, 400 g, 3 wts_r8_c14.jpg,0.188523,0.804199,0.007278
4th Meat, 400 g, 3 wts_r8_c15.jpg,0.092283,0.894104,0.013612
4th Meat, 400 g, 3 wts_r8_c16.jpg,0.589886,0.406725,0.003389
4th Meat, 400 g, 3 wts_r8_c17.jpg,0.761831,0.235842,0.002327
4th Meat, 400 g, 3 wts_r8_c18.jpg,0.435232,0.531024,0.033744
4th Meat, 400 g, 3 wts_r8_c19.jpg,0.350412,0.595581,0.054007
4th Meat, 400 g, 3 wts_r8_c2.jpg,0.045664,0.943534,0.010802
4th Meat, 400 g, 3 wts_r8_c20.jpg,0.596285,0.369627,0.034087
4th Meat, 400 g, 3 wts_r8_c21.jpg,0.065401,0.918347,0.016252
4th Meat, 400 g, 3 wts_r8_c22.jpg,0.203631,0.775525,0.020844
4th Meat, 400 g, 3 wts_r8_c23.jpg,0.011014,0.975619,0.013367
4th Meat, 400 g, 3 wts_r8_c24.jpg,0.005862,0.981231,0.012907
4th Meat, 400 g, 3 wts_r8_c25.jpg,0.024219,0.964789,0.010992
4th Meat, 400 g, 3 wts_r8_c3.jpg,0.005131,0.987782,0.007087
4th Meat, 400 g, 3 wts_r8_c4.jpg,0.587932,0.387794,0.024273
4th Meat, 400 g, 3 wts_r8_c5.jpg,0.045732,0.945265,0.009002
4th Meat, 400 g, 3 wts_r8_c6.jpg,0.006484,0.987869,0.005647
4th Meat, 400 g, 3 wts_r8_c7.jpg,0.030583,0.960555,0.008862
4th Meat, 400 g, 3 wts_r8_c8.jpg,0.552431,0.435667,0.011903
4th Meat, 400 g, 3 wts_r8_c9.jpg,0.727934,0.243546,0.028520
4th Meat, 400 g, 3 wts_r9_c0.jpg,0.174133,0.809732,0.016136
4th Meat, 400 g, 3 wts_r9_c1.jpg,0.154802,0.797050,0.048148
4th Meat, 400 g, 3 wts_r9_c10.jpg,0.574710,0.416557,0.008733
4th Meat, 400 g, 3 wts_r9_c12.jpg,0.127838,0.864578,0.007584
4th Meat, 400 g, 3 wts_r9_c13.jpg,0.381207,0.578656,0.040137
4th Meat, 400 g, 3 wts_r9_c14.jpg,0.702865,0.289277,0.007858
4th Meat, 400 g, 3 wts_r9_c16.jpg,0.092881,0.860460,0.046660
4th Meat, 400 g, 3 wts_r9_c17.jpg,0.070749,0.904199,0.025052
4th Meat, 400 g, 3 wts_r9_c18.jpg,0.344222,0.643203,0.012575
4th Meat, 400 g, 3 wts_r9_c2.jpg,0.006856,0.987319,0.005825
4th Meat, 400 g, 3 wts_r9_c21.jpg,0.026833,0.951917,0.021250
4th Meat, 400 g, 3 wts_r9_c22.jpg,0.026439,0.925537,0.048024
4th Meat, 400 g, 3 wts_r9_c23.jpg,0.088610,0.906177,0.005213
4th Meat, 400 g, 3 wts_r9_c24.jpg,0.058350,0.927132,0.014517
4th Meat, 400 g, 3 wts_r9_c25.jpg,0.119427,0.858499,0.022074
4th Meat, 400 g, 3 wts_r9_c3.jpg,0.016532,0.979628,0.003840
4th Meat, 400 g, 3 wts_r9_c4.jpg,0.091682,0.899660,0.008658
4th Meat, 400 g, 3 wts_r9_c5.jpg,0.108175,0.879454,0.012371
4th Meat, 400 g, 3 wts_r9_c6.jpg,0.035792,0.946400,0.017809
4th Meat, 400 g, 3 wts_r9_c7.jpg,0.029124,0.964189,0.006687
4th Meat, 400 g, 3 wts_r9_c8.jpg,0.344741,0.634492,0.020766
4th Meat, 400 g, 3 wts_r9_c9.jpg,0.635505,0.352502,0.011993
5 BEEF Shoulder _r0_c10.jpg,0.008983,0.985996,0.005021
5 BEEF Shoulder _r0_c11.jpg,0.041971,0.940005,0.018025
5 BEEF Shoulder _r0_c12.jpg,0.013884,0.974277,0.011839
5 BEEF Shoulder _r0_c13.jpg,0.019946,0.975606,0.004448
5 BEEF Shoulder _r0_c14.jpg,0.042107,0.950288,0.007605
5 BEEF Shoulder _r0_c15.jpg,0.048320,0.926941,0.024738
5 BEEF Shoulder _r0_c16.jpg,0.056954,0.919070,0.023976
5 BEEF Shoulder _r0_c17.jpg,0.017845,0.978431,0.003724
5 BEEF Shoulder _r0_c18.jpg,0.169687,0.824444,0.005869
5 BEEF Shoulder _r0_c19.jpg,0.142344,0.855147,0.002509
5 BEEF Shoulder _r0_c20.jpg,0.072105,0.923335,0.004561
5 BEEF Shoulder _r0_c21.jpg,0.082616,0.899941,0.017443
5 BEEF Shoulder _r0_c22.jpg,0.013672,0.948630,0.037698
5 BEEF Shoulder _r0_c23.jpg,0.065493,0.930655,0.003851
5 BEEF Shoulder _r0_c24.jpg,0.080222,0.881069,0.038709
5 BEEF Shoulder _r0_c25.jpg,0.069117,0.927591,0.003292
5 BEEF Shoulder _r0_c26.jpg,0.016012,0.981512,0.002476
5 BEEF Shoulder _r0_c29.jpg,0.400016,0.589812,0.010172
5 BEEF Shoulder _r0_c30.jpg,0.698933,0.296187,0.004879
5 BEEF Shoulder _r0_c31.jpg,0.077734,0.913528,0.008738
5 BEEF Shoulder _r0_c32.jpg,0.047677,0.948024,0.004299
5 BEEF Shoulder _r0_c33.jpg,0.064889,0.915867,0.019244
5 BEEF Shoulder _r0_c34.jpg,0.024885,0.966505,0.008610
5 BEEF Shoulder _r0_c35.jpg,0.020971,0.896762,0.082267
5 BEEF Shoulder _r0_c37.jpg,0.026515,0.949227,0.024257
5 BEEF Shoulder _r0_c38.jpg,0.055284,0.926914,0.017803
5 BEEF Shoulder _r0_c39.jpg,0.134088,0.826791,0.039120
5 BEEF Shoulder _r0_c41.jpg,0.337548,0.616719,0.045733
5 BEEF Shoulder _r0_c8.jpg,0.047163,0.938833,0.014003
5 BEEF Shoulder _r0_c9.jpg,0.087740,0.874224,0.038036
5 BEEF Shoulder _r10_c10.jpg,0.008316,0.987013,0.004671
5 BEEF Shoulder _r10_c11.jpg,0.006541,0.969634,0.023825
5 BEEF Shoulder _r10_c12.jpg,0.021041,0.973476,0.005484
5 BEEF Shoulder _r10_c13.jpg,0.420348,0.555354,0.024298
5 BEEF Shoulder _r10_c14.jpg,0.034630,0.948809,0.016561
5 BEEF Shoulder _r10_c16.jpg,0.047896,0.918894,0.033210
5 BEEF Shoulder _r10_c17.jpg,0.019871,0.971280,0.008848
5 BEEF Shoulder _r10_c18.jpg,0.025494,0.942759,0.031746
5 BEEF Shoulder _r10_c19.jpg,0.036340,0.942433,0.021227
5 BEEF Shoulder _r10_c21.jpg,0.038744,0.950595,0.010661
5 BEEF Shoulder _r10_c22.jpg,0.186316,0.786310,0.027374
5 BEEF Shoulder _r10_c25.jpg,0.127201,0.866432,0.006367
5 BEEF Shoulder _r10_c26.jpg,0.098052,0.855380,0.046569
5 BEEF Shoulder _r10_c27.jpg,0.047586,0.947831,0.004583
5 BEEF Shoulder _r10_c28.jpg,0.010078,0.979277,0.010645
5 BEEF Shoulder _r10_c3.jpg,0.014727,0.948996,0.036277
5 BEEF Shoulder _r10_c30.jpg,0.225527,0.762575,0.011899
5 BEEF Shoulder _r10_c33.jpg,0.003474,0.989664,0.006862
5 BEEF Shoulder _r10_c34.jpg,0.011380,0.973006,0.015615
5 BEEF Shoulder _r10_c35.jpg,0.008314,0.962943,0.028743
5 BEEF Shoulder _r10_c36.jpg,0.015370,0.943833,0.040797
5 BEEF Shoulder _r10_c37.jpg,0.017614,0.950570,0.031816
5 BEEF Shoulder _r10_c38.jpg,0.047113,0.911955,0.040932
5 BEEF Shoulder _r10_c39.jpg,0.183637,0.810907,0.005456
5 BEEF Shoulder _r10_c4.jpg,0.012186,0.902561,0.085253
5 BEEF Shoulder _r10_c41.jpg,0.872327,0.107702,0.019970
5 BEEF Shoulder _r10_c8.jpg,0.300301,0.678999,0.020700
5 BEEF Shoulder _r10_c9.jpg,0.154531,0.841289,0.004180
5 BEEF Shoulder _r11_c10.jpg,0.021733,0.965863,0.012405
5 BEEF Shoulder _r11_c11.jpg,0.154800,0.838967,0.006233
5 BEEF Shoulder _r11_c12.jpg,0.026111,0.959532,0.014357
5 BEEF Shoulder _r11_c13.jpg,0.024888,0.965232,0.009879
5 BEEF Shoulder _r11_c14.jpg,0.054634,0.912418,0.032949
5 BEEF Shoulder _r11_c15.jpg,0.049361,0.927189,0.023450
5 BEEF Shoulder _r11_c16.jpg,0.013656,0.969062,0.017282
5 BEEF Shoulder _r11_c17.jpg,0.003030,0.990681,0.006289
5 BEEF Shoulder _r11_c18.jpg,0.018186,0.950560,0.031254
5 BEEF Shoulder _r11_c19.jpg,0.004748,0.982167,0.013085
5 BEEF Shoulder _r11_c25.jpg,0.051195,0.941819,0.006986
5 BEEF Shoulder _r11_c26.jpg,0.009130,0.985115,0.005755
5 BEEF Shoulder _r11_c27.jpg,0.034329,0.958606,0.007065
5 BEEF Shoulder _r11_c28.jpg,0.072770,0.849522,0.077708
5 BEEF Shoulder _r11_c3.jpg,0.012659,0.894002,0.093339
5 BEEF Shoulder _r11_c30.jpg,0.010402,0.981498,0.008100
5 BEEF Shoulder _r11_c32.jpg,0.051206,0.945037,0.003757
5 BEEF Shoulder _r11_c33.jpg,0.020310,0.973241,0.006449
5 BEEF Shoulder _r11_c34.jpg,0.032098,0.882506,0.085396
5 BEEF Shoulder _r11_c35.jpg,0.009737,0.973412,0.016852
5 BEEF Shoulder _r11_c36.jpg,0.015226,0.936486,0.048288
5 BEEF Shoulder _r11_c37.jpg,0.003927,0.984317,0.011755
5 BEEF Shoulder _r11_c38.jpg,0.039994,0.944210,0.015796
5 BEEF Shoulder _r11_c39.jpg,0.009616,0.965287,0.025098
5 BEEF Shoulder _r11_c40.jpg,0.347611,0.510362,0.142027
5 BEEF Shoulder _r11_c41.jpg,0.439903,0.483957,0.076140
5 BEEF Shoulder _r11_c8.jpg,0.086762,0.909431,0.003807
5 BEEF Shoulder _r11_c9.jpg,0.019455,0.973740,0.006805
5 BEEF Shoulder _r12_c10.jpg,0.036353,0.957384,0.006263
5 BEEF Shoulder _r12_c11.jpg,0.005385,0.982596,0.012019
5 BEEF Shoulder _r12_c12.jpg,0.077389,0.913430,0.009181
5 BEEF Shoulder _r12_c13.jpg,0.069465,0.922169,0.008366
5 BEEF Shoulder _r12_c14.jpg,0.045083,0.926243,0.028673
5 BEEF Shoulder _r12_c16.jpg,0.035758,0.946041,0.018201
5 BEEF Shoulder _r12_c17.jpg,0.056003,0.890731,0.053266
5 BEEF Shoulder _r12_c18.jpg,0.046378,0.906465,0.047157
5 BEEF Shoulder _r12_c19.jpg,0.025425,0.949866,0.024709
5 BEEF Shoulder _r12_c2.jpg,0.025842,0.891538,0.082621
5 BEEF Shoulder _r12_c21.jpg,0.248365,0.728907,0.022727
5 BEEF Shoulder _r12_c22.jpg,0.016539,0.974791,0.008670
5 BEEF Shoulder _r12_c24.jpg,0.029173,0.956580,0.014248
5 BEEF Shoulder _r12_c26.jpg,0.063386,0.919766,0.016848
5 BEEF Shoulder _r12_c27.jpg,0.009092,0.986339,0.004569
5 BEEF Shoulder _r12_c28.jpg,0.215108,0.763303,0.021590
5 BEEF Shoulder _r12_c3.jpg,0.037719,0.941579,0.020702
5 BEEF Shoulder _r12_c30.jpg,0.039411,0.940565,0.020024
5 BEEF Shoulder _r12_c33.jpg,0.018912,0.955760,0.025328
5 BEEF Shoulder _r12_c34.jpg,0.020838,0.974161,0.005001
5 BEEF Shoulder _r12_c35.jpg,0.005889,0.964085,0.030025
5 BEEF Shoulder _r12_c36.jpg,0.006694,0.989641,0.003665
5 BEEF Shoulder _r12_c37.jpg,0.052427,0.929862,0.017712
5 BEEF Shoulder _r12_c38.jpg,0.006274,0.963179,0.030548
5 BEEF Shoulder _r12_c39.jpg,0.001853,0.983054,0.015093
5 BEEF Shoulder _r12_c4.jpg,0.016587,0.962824,0.020590
5 BEEF Shoulder _r12_c40.jpg,0.604050,0.376567,0.019383
5 BEEF Shoulder _r12_c41.jpg,0.755253,0.195061,0.049686
5 BEEF Shoulder _r12_c7.jpg,0.107299,0.888845,0.003856
5 BEEF Shoulder _r12_c8.jpg,0.182144,0.811326,0.006530
5 BEEF Shoulder _r12_c9.jpg,0.017247,0.976809,0.005944
5 BEEF Shoulder _r13_c1.jpg,0.190672,0.745776,0.063552
5 BEEF Shoulder _r13_c10.jpg,0.025781,0.952909,0.021310
5 BEEF Shoulder _r13_c11.jpg,0.031145,0.935124,0.033730
5 BEEF Shoulder _r13_c12.jpg,0.112722,0.846749,0.040529
5 BEEF Shoulder _r13_c17.jpg,0.081367,0.898112,0.020522
5 BEEF Shoulder _r13_c18.jpg,0.145181,0.752615,0.102205
5 BEEF Shoulder _r13_c19.jpg,0.018457,0.960395,0.021148
5 BEEF Shoulder _r13_c2.jpg,0.019759,0.888814,0.091427
5 BEEF Shoulder _r13_c21.jpg,0.224064,0.766818,0.009118
5 BEEF Shoulder _r13_c24.jpg,0.059061,0.939370,0.001569
5 BEEF Shoulder _r13_c25.jpg,0.006155,0.985734,0.008112
5 BEEF Shoulder _r13_c26.jpg,0.014769,0.982022,0.003209
5 BEEF Shoulder _r13_c3.jpg,0.020507,0.957403,0.022089
5 BEEF Shoulder _r13_c33.jpg,0.102434,0.879691,0.017876
5 BEEF Shoulder _r13_c34.jpg,0.005714,0.976000,0.018286
5 BEEF Shoulder _r13_c35.jpg,0.060918,0.882053,0.057029
5 BEEF Shoulder _r13_c36.jpg,0.010065,0.985553,0.004382
5 BEEF Shoulder _r13_c37.jpg,0.014103,0.979568,0.006328
5 BEEF Shoulder _r13_c38.jpg,0.013060,0.959820,0.027120
5 BEEF Shoulder _r13_c39.jpg,0.045102,0.798357,0.156540
5 BEEF Shoulder _r13_c40.jpg,0.090699,0.879672,0.029629
5 BEEF Shoulder _r13_c41.jpg,0.769787,0.189299,0.040914
5 BEEF Shoulder _r13_c6.jpg,0.002772,0.987703,0.009525
5 BEEF Shoulder _r13_c7.jpg,0.224971,0.764773,0.010256
5 BEEF Shoulder _r13_c8.jpg,0.156093,0.840958,0.002949
5 BEEF Shoulder _r13_c9.jpg,0.019719,0.970846,0.009435
5 BEEF Shoulder _r14_c1.jpg,0.076605,0.915239,0.008156
5 BEEF Shoulder _r14_c10.jpg,0.018535,0.976384,0.005080
5 BEEF Shoulder _r14_c11.jpg,0.112485,0.865230,0.022285
5 BEEF Shoulder _r14_c17.jpg,0.065221,0.921480,0.013299
5 BEEF Shoulder _r14_c18.jpg,0.057378,0.926653,0.015969
5 BEEF Shoulder _r14_c19.jpg,0.014103,0.941305,0.044593
5 BEEF Shoulder _r14_c2.jpg,0.015621,0.960380,0.023999
5 BEEF Shoulder _r14_c26.jpg,0.150719,0.822172,0.027109
5 BEEF Shoulder _r14_c28.jpg,0.177572,0.798414,0.024014
5 BEEF Shoulder _r14_c3.jpg,0.451453,0.528820,0.019728
5 BEEF Shoulder _r14_c30.jpg,0.019846,0.972520,0.007634
5 BEEF Shoulder _r14_c32.jpg,0.218922,0.711415,0.069663
5 BEEF Shoulder _r14_c33.jpg,0.077801,0.906333,0.015866
5 BEEF Shoulder _r14_c34.jpg,0.168297,0.802933,0.028770
5 BEEF Shoulder _r14_c35.jpg,0.293783,0.668359,0.037858
5 BEEF Shoulder _r14_c36.jpg,0.017115,0.970628,0.012257
5 BEEF Shoulder _r14_c37.jpg,0.087006,0.896523,0.016471
5 BEEF Shoulder _r14_c38.jpg,0.013316,0.975520,0.011164
5 BEEF Shoulder _r14_c39.jpg,0.005473,0.989868,0.004659
5 BEEF Shoulder _r14_c4.jpg,0.274764,0.712100,0.013137
5 BEEF Shoulder _r14_c40.jpg,0.093512,0.776871,0.129617
5 BEEF Shoulder _r14_c41.jpg,0.763657,0.201688,0.034655
5 BEEF Shoulder _r14_c5.jpg,0.002139,0.994253,0.003607
5 BEEF Shoulder _r14_c6.jpg,0.009522,0.986334,0.004144
5 BEEF Shoulder _r14_c7.jpg,0.020207,0.974231,0.005562
5 BEEF Shoulder _r14_c8.jpg,0.100003,0.888280,0.011716
5 BEEF Shoulder _r14_c9.jpg,0.035031,0.953263,0.011706
5 BEEF Shoulder _r15_c12.jpg,0.387514,0.603995,0.008491
5 BEEF Shoulder _r15_c17.jpg,0.006134,0.989690,0.004176
5 BEEF Shoulder _r15_c18.jpg,0.022528,0.965020,0.012453
5 BEEF Shoulder _r15_c19.jpg,0.015801,0.914012,0.070186
5 BEEF Shoulder _r15_c2.jpg,0.039011,0.848636,0.112353
5 BEEF Shoulder _r15_c21.jpg,0.020464,0.933663,0.045873
5 BEEF Shoulder _r15_c28.jpg,0.007108,0.989401,0.003491
5 BEEF Shoulder _r15_c30.jpg,0.018850,0.973179,0.007970
5 BEEF Shoulder _r15_c32.jpg,0.014672,0.976686,0.008642
5 BEEF Shoulder _r15_c34.jpg,0.185896,0.764141,0.049963
5 BEEF Shoulder _r15_c35.jpg,0.011569,0.979348,0.009083
5 BEEF Shoulder _r15_c36.jpg,0.037200,0.947423,0.015378
5 BEEF Shoulder _r15_c37.jpg,0.005160,0.990620,0.004220
5 BEEF Shoulder _r15_c38.jpg,0.019600,0.946907,0.033492
5 BEEF Shoulder _r15_c39.jpg,0.087729,0.902254,0.010017
5 BEEF Shoulder _r15_c4.jpg,0.006680,0.972292,0.021028
5 BEEF Shoulder _r15_c40.jpg,0.471506,0.498348,0.030147
5 BEEF Shoulder _r15_c41.jpg,0.774313,0.205808,0.019879
5 BEEF Shoulder _r15_c5.jpg,0.026837,0.955739,0.017424
5 BEEF Shoulder _r15_c6.jpg,0.161444,0.823981,0.014575
5 BEEF Shoulder _r15_c7.jpg,0.038073,0.955006,0.006922
5 BEEF Shoulder _r15_c8.jpg,0.115156,0.827110,0.057734
5 BEEF Shoulder _r15_c9.jpg,0.029702,0.957873,0.012425
5 BEEF Shoulder _r16_c0.jpg,0.052945,0.942810,0.004246
5 BEEF Shoulder _r16_c11.jpg,0.036251,0.935295,0.028455
5 BEEF Shoulder _r16_c12.jpg,0.198596,0.789284,0.012120
5 BEEF Shoulder _r16_c14.jpg,0.087245,0.906206,0.006550
5 BEEF Shoulder _r16_c17.jpg,0.002031,0.995284,0.002685
5 BEEF Shoulder _r16_c18.jpg,0.024702,0.953936,0.021362
5 BEEF Shoulder _r16_c19.jpg,0.024635,0.965729,0.009636
5 BEEF Shoulder _r16_c21.jpg,0.094303,0.883464,0.022233
5 BEEF Shoulder _r16_c25.jpg,0.021579,0.976919,0.001502
5 BEEF Shoulder _r16_c26.jpg,0.004866,0.991096,0.004038
5 BEEF Shoulder _r16_c27.jpg,0.073698,0.916195,0.010106
5 BEEF Shoulder _r16_c28.jpg,0.034780,0.897357,0.067863
5 BEEF Shoulder _r16_c29.jpg,0.025665,0.955086,0.019249
5 BEEF Shoulder _r16_c3.jpg,0.005242,0.990736,0.004022
5 BEEF Shoulder _r16_c30.jpg,0.008319,0.985285,0.006395
5 BEEF Shoulder _r16_c31.jpg,0.033547,0.927005,0.039448
5 BEEF Shoulder _r16_c32.jpg,0.025346,0.968701,0.005953
5 BEEF Shoulder _r16_c33.jpg,0.002234,0.993157,0.004608
5 BEEF Shoulder _r16_c34.jpg,0.024442,0.929065,0.046493
5 BEEF Shoulder _r16_c35.jpg,0.009943,0.971585,0.018472
5 BEEF Shoulder _r16_c36.jpg,0.024531,0.967771,0.007698
5 BEEF Shoulder _r16_c37.jpg,0.005786,0.992298,0.001917
5 BEEF Shoulder _r16_c38.jpg,0.016579,0.947669,0.035751
5 BEEF Shoulder _r16_c39.jpg,0.029120,0.956835,0.014046
5 BEEF Shoulder _r16_c4.jpg,0.011862,0.976463,0.011676
5 BEEF Shoulder _r16_c40.jpg,0.884522,0.102571,0.012907
5 BEEF Shoulder _r16_c41.jpg,0.642060,0.319619,0.038322
5 BEEF Shoulder _r16_c5.jpg,0.015423,0.973344,0.011233
5 BEEF Shoulder _r16_c6.jpg,0.049862,0.937630,0.012508
5 BEEF Shoulder _r16_c7.jpg,0.008432,0.990299,0.001269
5 BEEF Shoulder _r16_c8.jpg,0.091890,0.882199,0.025911
5 BEEF Shoulder _r17_c10.jpg,0.021498,0.971443,0.007059
5 BEEF Shoulder _r17_c11.jpg,0.239517,0.715763,0.044720
5 BEEF Shoulder _r17_c12.jpg,0.059009,0.906301,0.034689
5 BEEF Shoulder _r17_c19.jpg,0.019233,0.952019,0.028748
5 BEEF Shoulder _r17_c21.jpg,0.070488,0.922443,0.007068
5 BEEF Shoulder _r17_c3.jpg,0.007282,0.972698,0.020021
5 BEEF Shoulder _r17_c30.jpg,0.021964,0.963716,0.014320
5 BEEF Shoulder _r17_c32.jpg,0.004052,0.993261,0.002687
5 BEEF Shoulder _r17_c33.jpg,0.008994,0.975740,0.015265
5 BEEF Shoulder _r17_c34.jpg,0.020951,0.961447,0.017602
5 BEEF Shoulder _r17_c35.jpg,0.019645,0.956604,0.023752
5 BEEF Shoulder _r17_c36.jpg,0.124185,0.842130,0.033684
5 BEEF Shoulder _r17_c37.jpg,0.054825,0.899832,0.045344
5 BEEF Shoulder _r17_c38.jpg,0.023539,0.941217,0.035244
5 BEEF Shoulder _r17_c39.jpg,0.025037,0.936500,0.038463
5 BEEF Shoulder _r17_c4.jpg,0.126829,0.864850,0.008321
5 BEEF Shoulder _r17_c40.jpg,0.046775,0.936567,0.016659
5 BEEF Shoulder _r17_c41.jpg,0.036227,0.924136,0.039637
